listing_type,first_name,last_name,email,company,phone_number,address1,city,zip_code,state_code,country_code,profession_name,services
,,,,,,,,,,,,
Company,,,,Intellias,380 32290-3690,L'viv,,,UA,380,Web & Software Development,Artificial Intelligence
Company,,,,Softarex Technologies,703 836-1860,Alexandria,,VA,US,1,Web & Software Development,Artificial Intelligence
Company,,,,Qulix Systems,375 17306-3868,Misnk,,,BY ,375,Web & Software Development,Artificial Intelligence
Company,,,,InData Labs,375 29199-1644,Nicosia,,,CY ,357,Web & Software Development,Artificial Intelligence
Company,,,,ThirdEye Data,408 462-5257,San Jose,,CA,US,1,Web & Software Development,Artificial Intelligence
Company,,,,Zfort Group,380 67954-9384,Kharkiv,,,UA,380,Web & Software Development,Artificial Intelligence
Company,,,,Zegami,073 9953-6389,Oxford,,,UK,44,Web & Software Development,Artificial Intelligence
Company,,,,CHI Software,380 5077-6853,Kharkiv,,,UA,380,Web & Software Development,Artificial Intelligence
Company,,,,AndPlus,508 425-7533,Southborough,,MA,US,1,Web & Software Development,Artificial Intelligence
Company,,,,Exometrics,441 892 31-3254,London,,,UK,44,Web & Software Development,Artificial Intelligence
Company,,,,BIX Technology,554 899659-5490,Florianópolis,,,BR,55,Web & Software Development,Artificial Intelligence
Company,,,,APRO Software,375 29329-9632,Minsk,,,BY,375,Web & Software Development,Artificial Intelligence
Company,,,,CVisionLab,786 3432-7269,Taganrog,,,RU,7,Web & Software Development,Artificial Intelligence
Company,,,,Rootstrap,310 907-9210,West Hollywood,,CA,US,1,Web & Software Development,Artificial Intelligence
Company,,,,Talentica Software,919 68991-8094,Pune,,,IN,91,Web & Software Development,Artificial Intelligence
Company,,,,Iflexion,720 207-0369,Denver,,CO,US,1,Web & Software Development,Artificial Intelligence
Company,,,,CronJ IT Technologies,917 09370-5150,Bengaluru,,,IN,91,Web & Software Development,Artificial Intelligence
Company,,,,Digica,442 08126-1156,"Broadheath, Altrincham",,,UK,44,Web & Software Development,Artificial Intelligence
Company,,,,Belitsoft,917 410-5757,Minsk,,,BY,375,Web & Software Development,Artificial Intelligence
Company,,,,Quytech,917 04229-5974,Gurugram,,,IN,91,Web & Software Development,Artificial Intelligence
Company,,,,Mindy Support,357 2503-0267,Agios Athanasios,,,CY ,357,Web & Software Development,Artificial Intelligence
Company,,,,Miquido,485 3608-3559,Kraków,,,PL,48,Web & Software Development,Artificial Intelligence
Company,,,,STX Next,485 1291-4236,Pozna?,,,PL,48,Web & Software Development,Artificial Intelligence
Company,,,,Conlan Scientific,240 778-9757,Bethesda,,MD,US,1,Web & Software Development,Artificial Intelligence
Company,,,,DataArt,121 2378-4108,New York,,NY,US,1,Web & Software Development,Artificial Intelligence
Company,,,,Moove It,512 949-8991,Austin,,TX,US,1,Web & Software Development,Artificial Intelligence
Company,,,,Lucid Reality Labs,305 748-1533,Miami,,FL,US,1,Web & Software Development,Artificial Intelligence
Company,,,,mTraction Enterprise,828 723-0230,,,,SG,65,Web & Software Development,Artificial Intelligence
Company,,,,PixelPlex,646 490-0772,New York,,NY,US,1,Web & Software Development,Artificial Intelligence
Company,,,,Dogtown Media,888 814-7010,Los Angeles,,CA,US,1,Web & Software Development,Artificial Intelligence
Company,,,,Maxiom Technology,833 629-2777,Ashburn,,VA,US,1,Web & Software Development,Artificial Intelligence
