listing_type,first_name,last_name,email,company,phone_number,address1,city,zip_code,state_code,country_code,profession_name,services
,,,,,,,,,,,,
Company,,,,Newxel,380 68340-0233,Kyiv,,,UA,380,IT Services & Solutions,Staff Augmentation
Company,,,,Five Pack Creative,972 200-9120,Frisco,,TX,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,Parthenon Software Group,503 247-2447,Portland,,OR,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,Pixoul,830 321-0359,Dallas,,TX,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,Applover,487 2222-6022,Wroc?aw,,,PL,48,IT Services & Solutions,Staff Augmentation
Company,,,,Sophilabs,718 395-7760,Brooklyn,,NY,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,Arcanys,639 17634-9110,Cebu City,,,PH,63,IT Services & Solutions,Staff Augmentation
Company,,,,Neginet,718 355-9390,Addison,,TX,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,Simplex Software,549 113893-2590,CMK,,,AR,54,IT Services & Solutions,Staff Augmentation
Company,,,,Flux IT,011 5272-6390,Gonnet,,,AR,54,IT Services & Solutions,Staff Augmentation
Company,,,,Nearsure,310 409-2021,Los Angeles,,CA,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,Qadvance,541 15116-1631,Ciudad de Buenos Aires,,,AR,54,IT Services & Solutions,Staff Augmentation
Company,,,,EX2 Outcoding,800 974-7219,Desamparados,,,CR,506,IT Services & Solutions,Staff Augmentation
Company,,,,CodersLink,512 289-9825,San Antonio,,TX,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,ISHIR,888 994-7447,Plano,,TX,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,"Menlo Technologies, A Quisitive Company",408 736-8100,Los Altos,,CA,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,Altar.io,351 91935-9369,Lisboa,,,PT,351,IT Services & Solutions,Staff Augmentation
Company,,,,N-iX,380 32229-5767,L'viv,,,UA,380,IT Services & Solutions,Staff Augmentation
Company,,,,Capital Numbers,913 36799-2222,Kolkata,,,IN,91,IT Services & Solutions,Staff Augmentation
Company,,,,Edvantis,493 02549-3196,Berlin,,,DE,49,IT Services & Solutions,Staff Augmentation
Company,,,,Avenga,908 312-4070,Lviv,,,UA,380,IT Services & Solutions,Staff Augmentation
Company,,,,Skelia,352 2020-2140,L'viv,,,UA,380,IT Services & Solutions,Staff Augmentation
Company,,,,Beetroot AB,,Stockholm,,,SE,46,IT Services & Solutions,Staff Augmentation
Company,,,,Intetics Inc.,239 217-4907,Naples,,FL,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,Forte Group,312 757-4944,Chicago,,IL,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,KnubiSoft,443 33303-1241,London,,,UK,44,IT Services & Solutions,Staff Augmentation
Company,,,,Britenet,482 2111-0030,Warszawa,,,PL,48,IT Services & Solutions,Staff Augmentation
Company,,,,Scalo,486 6559-4665,Wroc?aw,,,PL,48,IT Services & Solutions,Staff Augmentation
Company,,,,techahead,818 318-0727,Agoura Hills,,CA,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,DataArt,212 378-4108,New York,,NY,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,AddWeb Solution,903 317-7471,Ahmedabad,,,IN,91,IT Services & Solutions,Staff Augmentation
Company,,,,Talentica Software,919 68991-8094,Pune,,,IN,91,IT Services & Solutions,Staff Augmentation
Company,,,,Scalefocus,359 2491-6448,Sofia,,,BG,359,IT Services & Solutions,Staff Augmentation
Company,,,,United Ideas,486 0013-0130,Warszawa,,,PL,48,IT Services & Solutions,Staff Augmentation
Company,,,,GoodCore Software,442 08781-6903,Croydon,,,UK,44,IT Services & Solutions,Staff Augmentation
Company,,,,Uplers,610 87200-6665,Surry Hills,,,AU,1,IT Services & Solutions,Staff Augmentation
Company,,,,Nickelfox,012 0411-2305,Noida,,,IN,91,IT Services & Solutions,Staff Augmentation
Company,,,,Sphere Partners,312 488-9560,Northbrook,,IL,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,number8,502 212-0978,Louisville,,KY,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,Leobit,512 487-7222,L'viv,,,UA,380,IT Services & Solutions,Staff Augmentation
Company,,,,CSHARK,485 0613-3893,Wroc?aw,,,PL,48,IT Services & Solutions,Staff Augmentation
Company,,,,Limestone Digital,420 70312-9016,Karlín,,,CZ,420,IT Services & Solutions,Staff Augmentation
Company,,,,Tremend Software Consulting,402 1223-7700,Bucure?ti,,,RO,40,IT Services & Solutions,Staff Augmentation
Company,,,,Icreon,212 706-6021,New York,,NY,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,Evolvice GmbH,497 11219-5590,Stuttgart,,,DE,49,IT Services & Solutions,Staff Augmentation
Company,,,,RITS - Relyon IT Services,482 2444-7999,Warszawa,,,PL,48,IT Services & Solutions,Staff Augmentation
Company,,,,Mind IT Systems,987 135-2101,New Delhi,,,IN,91,IT Services & Solutions,Staff Augmentation
Company,,,,ClickIT DevOps & Software Development,844 141-8485,Saltillo,,,MX,52,IT Services & Solutions,Staff Augmentation
Company,,,,Itexus,131 2874-7160,Buffalo Grove,,IL,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,Code & Pepper,442 08089-6950,London,,,UK,44,IT Services & Solutions,Staff Augmentation
Company,,,,sceel.io GmbH,497 119688-2990,Stuttgart,,,DE,49,IT Services & Solutions,Staff Augmentation
Company,,,,Qarea,380 57763-6024,Kharkiv,,,UA,380,IT Services & Solutions,Staff Augmentation
Company,,,,CINQ Technologies,855 800-2467,Miami,,FL,US,1,IT Services & Solutions,Staff Augmentation
Company,,,,BorderlessMind,888 267-3375,Plano,,,US,1,IT Services & Solutions,Staff Augmentation
