listing_type,first_name,last_name,email,company,phone_number,address1,city,zip_code,state_code,country_code,profession_name,services
,,,,,,,,,,,,
Company,,,,Simply Contact,093 361-1958,Dnipro,,,UA,380,Business Services,BPO
Company,,,,CIENCE Technologies,949 424-2906,Solana Beach,,CA,US,1,Business Services,BPO
Company,,,,Wow24-7,888 448-2518,Kyiv,,,UA,380,Business Services,BPO
Company,,,,Belkins,864 659-0155,Dover,,DE,US,1,Business Services,BPO
Company,,,,Mindy Support,357 2503-0267,Agios Athanasios,,,CY,357,Business Services,BPO
Company,,,,SureCall,877 310-0088,Calgary,,,CA,1,Business Services,BPO
Company,,,,Smith.ai,650 709-2994,Los Altos,,CA,US,1,Business Services,BPO
Company,,,,Martal Group,888 557-7769,Oakville,,CA,US,1,Business Services,BPO
Company,,,,SalesRoads,954 283-5325,Coral Springs,,FL,US,1,Business Services,BPO
Company,,,,Aidey,845 793-8545,Manila,,,PH,63,Business Services,BPO
Company,,,,VSA Prospecting,856 240-8100,Haddon Township,,NJ,US,1,Business Services,BPO
Company,,,,Strategic Sales & Marketing,800 571-5323,Farmington,,CT,US,1,Business Services,BPO
Company,,,,Lead Generators International®,800 306-1365,Burnaby,,,CA,1,Business Services,BPO
Company,,,,Abby Connect Receptionists,866 832-2290,Las Vegas,,NV,US,1,Business Services,BPO
Company,,,,AnswerForce,800 461-8535,Portland,,OR,US,1,Business Services,BPO
Company,,,,Leadium,725 215-1886,Las Vegas,,NV,US,1,Business Services,BPO
Company,,,,ScaleMill,,Berlin,,,DE,49,Business Services,BPO
Company,,,,OWORKERS,448 00084-3038,London,,,UK,44,Business Services,BPO
Company,,,,Ambs Call Center,800 968-1181,Jackson,,MI,US,1,Business Services,BPO
Company,,,,AnswerConnect,800 700-8888,Portland,,OR,US,1,Business Services,BPO
Company,,,,VoiceNation,866 766-5050,Buford,,GA,US,1,Business Services,BPO
Company,,,,LEX Reception,800 800-9995,Portland,,OR,US,1,Business Services,BPO
Company,,,,Intelemark,602 943-7111,Scottsdale,,AZ,US,1,Business Services,BPO
Company,,,,Atlantic Growth Solutions,506 440-0899,Fredericton,,,CA,1,Business Services,BPO
Company,,,,Moneypenny,844 445-4795,North Charleston,,SC,US,1,Business Services,BPO
Company,,,,Ruby,844 853-7829,Portland,,OR,US,1,Business Services,BPO
Company,,,,XACT,877 922-8877 ,Orlando,,FL,US,1,Business Services,BPO
Company,,,,Anserve Inc.,800 980-9770,Butler,,NJ,US,1,Business Services,BPO
Company,,,,LawyerLine™,800 380-3800,Easton,,PA,US,1,Business Services,BPO
Company,,,,OutboundView,615 212-8619,Franklin,,TN,US,1,Business Services,BPO
Company,,,,HelloSells,800 550-4955,Portland,,OR,US,1,Business Services,BPO
Company,,,,TechSpeed Inc,503 291-0027,Portland,,OR,US,1,Business Services,BPO
Company,,,,Pearl Lemon,020 7183-3436,London,,,UK,44,Business Services,BPO
Company,,,,Remote Team Solutions,880 449-0189,Monterrey,,,MX,52,Business Services,BPO
Company,,,,WiserBrand,646 741-3255,New York,,NY,US,1,Business Services,BPO
Company,,,,Out2Bound,359 89599-8894,Sofia,,,BG,359,Business Services,BPO
Company,,,,Vertical Computers,800 820-0201,Chino,,CA,US,1,Business Services,BPO
Company,,,,MindSpace Outsourcing Services Pvt. Ltd.,014 1402-3431,Jaipur,,,IN,91,Business Services,BPO
Company,,,,Sonnecto,646 970-1097,Prishtina,,,XK ,383,Business Services,BPO
Company,,,,Alcor,380 44359-1360,Kyiv,,,UA,380,Business Services,BPO
Company,,,,"Real IT Solutions, Inc",616 209-8900,Comstock Park,,MI,US,1,Business Services,BPO
Company,,,,Contactopia,916 517-8888,Sharjah,,,UAE,971,Business Services,BPO
Company,,,,Curral,020 3092-3438,Stevenage,,,UK,44,Business Services,BPO
Company,,,,BorderlessMind,888 267-3375,Plano,,,US,1,Business Services,BPO
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
