listing_type,first_name,last_name,email,company,phone_number,address1,city,zip_code,state_code,country_code,profession_name,services
,,,,,,,,,,,,
Company,,,,Appsilon,485 1528-4693,Warszawa,,,PL,48,IT Services & Solutions,BI & Big Data
Company,,,,Britenet,482 2111-0030,Warszawa,,,PL,48,IT Services & Solutions,BI & Big Data
Company,,,,Elasticiti,347 276-3107,New York,,NY,US,1,IT Services & Solutions,BI & Big Data
Company,,,,Future Processing,448 45805-7479,Gliwice,,,PL,48,IT Services & Solutions,BI & Big Data
Company,,,,Itransition,720 207-2820,Denver,,CO,US,1,IT Services & Solutions,BI & Big Data
Company,,,,InData Labs,375 29199-1644,Nicosia,,,CY,357,IT Services & Solutions,BI & Big Data
Company,,,,Netguru,442 03871-3389,Pozna?,,,PL,48,IT Services & Solutions,BI & Big Data
Company,,,,Experion Technologies,214 983-8181,Plano,,TX,US,1,IT Services & Solutions,BI & Big Data
Company,,,,Intellias,380 32290-3690,L'viv,,,UA,380,IT Services & Solutions,BI & Big Data
Company,,,,Coherent Solutions,612 279-6262,St. Louis Park,,MN,US,1,IT Services & Solutions,BI & Big Data
Company,,,,eLuminous Technologies Pvt Ltd,918 20822-2939,Nashik,,,IN,91,IT Services & Solutions,BI & Big Data
Company,,,,DOOR3,646 351-0012,New York,,NY,US,1,IT Services & Solutions,BI & Big Data
Company,,,,HatchWorks Technologies,404 307-7502,Atlanta,,GA,US,1,IT Services & Solutions,BI & Big Data
Company,,,,Queryon,907 519-0034,Anchorage,,AK,US,1,IT Services & Solutions,BI & Big Data
Company,,,,Talentica Software,919 68991-8094,Pune,,,IN,91,IT Services & Solutions,BI & Big Data
Company,,,,Sowen,646 713-4373,New York,,NY,US,1,IT Services & Solutions,BI & Big Data
Company,,,,Altar.io,351 91935-9369,Lisboa,,,PT,351,IT Services & Solutions,BI & Big Data
Company,,,,Netsells Group,019 0456-3232,York,,,UK,44,IT Services & Solutions,BI & Big Data
Company,,,,Sphere Partners,312 488-9560,Northbrook,,IL,US,1,IT Services & Solutions,BI & Big Data
Company,,,,Belitsoft,917 410-5757,Minsk,,,BY,375,IT Services & Solutions,BI & Big Data
Company,,,,delaPlex,404 876-3334,Atlanta,,GA,US,1,IT Services & Solutions,BI & Big Data
Company,,,,IT Svit,192 9999-1965,Kharkiv,,,UA,380,IT Services & Solutions,BI & Big Data
Company,,,,Liventus,847 443-2593,Chicago,,IL,US,1,IT Services & Solutions,BI & Big Data
Company,,,,"Principle Co, Ltd.",813 6206-9003,Chiyoda City,,,JP,81,IT Services & Solutions,BI & Big Data
Company,,,,Iflexion,720 207-0369,Denver,,CO,US,1,IT Services & Solutions,BI & Big Data
Company,,,,Unique Software Development,214 636-7723,Dallas,,TX,US,1,IT Services & Solutions,BI & Big Data
Company,,,,BIX Technology,554 899659-5490,Florianópolis,,,BR,55,IT Services & Solutions,BI & Big Data
Company,,,,instinctools,497 116648-3694,Stuttgart,,,DE,49,IT Services & Solutions,BI & Big Data
Company,,,,Software Mind,481 2252-3400,Kraków,,,PL,48,IT Services & Solutions,BI & Big Data
Company,,,,Unicsoft,650 515-3699,Kyiv,,,UA,380,IT Services & Solutions,BI & Big Data
Company,,,,HashCash Consultants,888 893-0588,Palo Alto,,CA,US,1,IT Services & Solutions,BI & Big Data
Company,,,,Velotio Technologies,408 617-5762,Pune,,,IN,91,IT Services & Solutions,BI & Big Data
Company,,,,Accedia,359 2444-2003,Sofia,,,BG,359,IT Services & Solutions,BI & Big Data
Company,,,,3XM Group,543 51483-8185,Córdoba,,,AR,54,IT Services & Solutions,BI & Big Data
Company,,,,Broscorp,380 98264-8263,Dnipropetrovs'k,,,UA,380,IT Services & Solutions,BI & Big Data
Company,,,,Exometrics,441 89231-3254,London,,,UK,44,IT Services & Solutions,BI & Big Data
Company,,,,Vates,954 889-6722,Atlanta,,GA,US,1,IT Services & Solutions,BI & Big Data
Company,,,,Code Runners,359 88957-4409,Sofia,,,BG,359,IT Services & Solutions,BI & Big Data
Company,,,,SoftwareHut,486 9342-0078,Bia?ystok,,,PL,48,IT Services & Solutions,BI & Big Data
Company,,,,Quantum,380 50400-5772,Kharkiv,,,UA,380,IT Services & Solutions,BI & Big Data
Company,,,,Deeper Insights,442 07129-7497,London,,,UK,44,IT Services & Solutions,BI & Big Data
Company,,,,Synergo Group,647 560-4412,Toronto,,,CA,1,IT Services & Solutions,BI & Big Data
Company,,,,Xminds Infotech,914 71247-7556,Thiruvananthapuram,,,IN,91,IT Services & Solutions,BI & Big Data
Company,,,,Sciant,359 89942-0440,Sofia,,,BG,359,IT Services & Solutions,BI & Big Data
Company,,,,Traction Consulting Group,248 679-9454,Wixom,,MI,US,1,IT Services & Solutions,BI & Big Data
Company,,,,DataRoot Labs,380 63885-5724,Kyiv,,,UA,380,IT Services & Solutions,BI & Big Data
Company,,,,RIA Solutions Group,188 8803-8164,Winston-Salem,,NC,US,1,IT Services & Solutions,BI & Big Data
Company,,,,DeepInspire,380 32243-1043,L'viv,,,UA,380,IT Services & Solutions,BI & Big Data
Company,,,,Zegami,073 9953-6389,Oxford,,,UK,44,IT Services & Solutions,BI & Big Data
Company,,,,ONE12th,877 663-1284,Aventura,,FL,US,1,IT Services & Solutions,BI & Big Data
Company,,,,Antedote,855 503-0723,San Francisco,,CA,US,1,IT Services & Solutions,BI & Big Data
Company,,,,SoftKraft,486 0199-2307,Bielsko-Bia?a,,,PL,48,IT Services & Solutions,BI & Big Data
Company,,,,ConsultingWhiz LLC,949 656-9676,Aliso Viejo,,CA,US,1,IT Services & Solutions,BI & Big Data
Company,,,,PROBEGIN,318 5401-6527,Lelystad,,,PL,48,IT Services & Solutions,BI & Big Data
Company,,,,Geomotiv,571 748-7688,Alexandria,,VA,US,1,IT Services & Solutions,BI & Big Data
Company,,,,Sysbee,385 5249-2060,Pula,,,HR,385,IT Services & Solutions,BI & Big Data
Company,,,,StackOverdrive.io,844 733-8677,New York,,NY,US,1,IT Services & Solutions,BI & Big Data
Company,,,,Mobile Reality,486 0712-6160,Warsaw,,,PL,48,IT Services & Solutions,BI & Big Data
Company,,,,CloudNesil,,Denizli,,,TR ,90,IT Services & Solutions,BI & Big Data
Company,,,,Anderson Collaborative,305 777-0471,Miami,,FL,US,1,IT Services & Solutions,BI & Big Data
Company,,,,Roycon,512 318-2488,Austin,,TX,US,1,IT Services & Solutions,BI & Big Data
Company,,,,REWSOFT,486 9559-2547,Tychy,,,PL,48,IT Services & Solutions,BI & Big Data
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
